제목,생년,몰년,활동연도,Source,公車類,書簡類,序跋類,詩類,哀祭類,雜著類,傳記類,SUM,Publish,傳記類_Ratio,公車類_Ratio,哀祭類_Ratio,序跋類_Ratio,書簡類_Ratio,詩類_Ratio,雜著類_Ratio
水亭先生集,1373,1437,1405,역대문집DB,0,0,1,300,0,0,0,301,,0,0,0,0.332225914,0,99.66777409,0
?村先生文集,1363,1452,1407,역대문집DB,618,18,3,16,10,1,3,669,,0.448430493,92.37668161,1.494768311,0.448430493,2.69058296,2.391629297,0.149476831
土軒集,1367,1454,1410,역대문집DB,6,1,0,51,0,0,1,59,,1.694915254,10.16949153,0,0,1.694915254,86.44067797,0
菊堂遺稿,1374,1446,1410,문집총간,4,2,11,92,5,8,2,124,1895,1.612903226,3.225806452,4.032258065,8.870967742,1.612903226,74.19354839,6.451612903
寅齋集,1374,1446,1410,문집총간,32,0,2,8,1,4,4,51,1929,7.843137255,62.74509804,1.960784314,3.921568627,0,15.68627451,7.843137255
別洞集,1373,1455,1414,문집총간,30,1,7,95,9,5,6,153,1749,3.921568627,19.60784314,5.882352941,4.575163399,0.653594771,62.09150327,3.267973856
敬齋集,1376,1453,1414,문집총간,6,0,11,180,12,16,5,230,1919,2.173913043,2.608695652,5.217391304,4.782608696,0,78.26086957,6.956521739
泰齋集,1388,1443,1415,문집총간,0,0,8,528,4,5,4,549,1815,0.72859745,0,0.72859745,1.4571949,0,96.17486339,0.910746812
池月堂文集,1379,1463,1421,역대문집DB,0,0,2,191,0,0,0,193,,0,0,0,1.03626943,0,98.96373057,0
敬齋遺稿,1408,1442,1425,문집총간,6,0,5,14,28,7,5,65,1804,7.692307692,9.230769231,43.07692308,7.692307692,0,21.53846154,10.76923077
敬齋先生遺稿,1408,1442,1425,역대문집DB,1,1,9,14,21,6,3,55,,5.454545455,1.818181818,38.18181818,16.36363636,1.818181818,25.45454545,10.90909091
白村先生文集,1399,1456,1427,역대문집DB,34,22,0,4,0,10,2,72,,2.777777778,47.22222222,0,0,30.55555556,5.555555556,13.88888889
歸隱先生遺集,1407,1459,1433,역대문집DB,0,17,1,44,2,12,0,76,,0,0,2.631578947,1.315789474,22.36842105,57.89473684,15.78947368
淵氷堂先生文集,1407,1459,1433,역대문집DB,40,2,1,14,0,3,0,60,,0,66.66666667,0,1.666666667,3.333333333,23.33333333,5
丹溪遺稿,1412,1456,1434,문집총간,4,1,5,13,3,5,3,34,1768,8.823529412,11.76470588,8.823529412,14.70588235,2.941176471,38.23529412,14.70588235
生六臣文集,1392,1480,1436,역대문집DB,6,4,9,291,1,11,1,323,,0.309597523,1.857585139,0.309597523,2.786377709,1.238390093,90.09287926,3.405572755
朴先生遺稿,1417,1456,1436,문집총간,4,1,30,21,0,11,0,67,1658,0,5.970149254,0,44.7761194,1.492537313,31.34328358,16.41791045
成謹甫集,1418,1456,1437,문집총간,2,0,11,39,0,6,6,64,,9.375,3.125,0,17.1875,0,60.9375,9.375
成先生遺稿,1418,1456,1437,역대문집DB,4,2,24,395,0,22,4,451,,0.88691796,0.88691796,0,5.321507761,0.44345898,87.58314856,4.87804878
月川集,1408,1473,1440,역대문집DB,0,0,0,86,0,16,0,102,,0,0,0,0,0,84.31372549,15.68627451
撫松軒集,1416,1464,1440,문집총간,72,0,5,10,5,7,7,106,,6.603773585,67.9245283,4.716981132,4.716981132,0,9.433962264,6.603773585
文節公金先生逸稿,1416,1464,1440,역대문집DB,75,0,0,12,0,1,0,88,,0,85.22727273,0,0,0,13.63636364,1.136363636
不憂軒集,1401,1481,1441,문집총간,4,0,3,38,0,3,4,52,1786,7.692307692,7.692307692,0,5.769230769,0,73.07692308,5.769230769
太虛亭集,1409,1474,1441,문집총간,28,0,20,85,3,7,4,147,1707,2.721088435,19.04761905,2.040816327,13.60544218,0,57.82312925,4.761904762
眞逸遺稿,1427,1456,1441,문집총간,1,0,8,117,0,4,1,131,1467,0.763358779,0.763358779,0,6.106870229,0,89.3129771,3.053435115
拭疣集,1409,1481,1445,문집총간,1,0,7,214,1,38,4,265,,1.509433962,0.377358491,0.377358491,2.641509434,0,80.75471698,14.33962264
樗軒集,1415,1477,1446,문집총간,4,0,3,292,1,7,3,310,1587,0.967741935,1.290322581,0.322580645,0.967741935,0,94.19354839,2.258064516
保閑齋集,1417,1475,1446,문집총간,10,2,36,610,12,26,9,705,1645,1.276595745,1.418439716,1.70212766,5.106382979,0.283687943,86.5248227,3.687943262
訥齋集,1415,1482,1448,문집총간,40,3,7,19,0,13,3,85,1791,3.529411765,47.05882353,0,8.235294118,3.529411765,22.35294118,15.29411765
三灘集,1422,1484,1453,문집총간,1,1,27,567,4,8,19,627,1514,3.03030303,0.159489633,0.637958533,4.306220096,0.159489633,90.43062201,1.275917065
私淑齋集,1424,1483,1453,문집총간,6,4,27,214,5,33,11,300,1805,3.666666667,2,1.666666667,9,1.333333333,71.33333333,11
四佳集,1420,1488,1454,문집총간,3,0,76,3456,1,59,9,3604,1705,0.249722531,0.083240844,0.027746948,2.108768036,0,95.89345172,1.637069922
漁溪集,1420,1489,1454,문집총간,15,2,8,51,10,9,8,103,1901,7.766990291,14.5631068,9.708737864,7.766990291,1.941747573,49.51456311,8.737864078
逍遙齋集,1432,1479,1455,역대문집DB,0,0,6,231,0,1,0,238,,0,0,0,2.521008403,0,97.05882353,0.420168067
退齋先生文集附錄,1418,1495,1456,역대문집DB,47,0,3,11,0,0,0,61,,0,77.04918033,0,4.918032787,0,18.03278689,0
逍遙齋集,1432,1480,1456,문집총간,0,0,5,226,0,2,1,234,1813,0.427350427,0,0,2.136752137,0,96.58119658,0.854700855
佔畢齋集,1431,1492,1461,문집총간,6,5,23,1092,2,21,15,1164,1789,1.288659794,0.515463918,0.171821306,1.975945017,0.429553265,93.81443299,1.804123711
勿齋集,1427,1497,1462,문집총간,12,1,5,36,3,7,2,66,1726,3.03030303,18.18181818,4.545454545,7.575757576,1.515151515,54.54545455,10.60606061
止止堂詩集,1437,1487,1462,문집총간,0,0,2,244,0,0,0,246,1501,0,0,0,0.81300813,0,99.18699187,0
松窩先生文集,1431,1495,1463,역대문집DB,82,0,0,4,0,2,0,88,,0,93.18181818,0,0,0,4.545454545,2.272727273
梅月堂集,1435,1493,1464,문집총간,0,3,3,1438,0,94,12,1550,1583,0.774193548,0,0,0.193548387,0.193548387,92.77419355,6.064516129
楸溪先生遺集,1431,1503,1467,역대문집DB,37,5,3,4,1,2,1,53,,1.886792453,69.81132075,1.886792453,5.660377358,9.433962264,7.547169811,3.773584906
靑坡集,1438,1498,1468,문집총간,1,0,13,101,0,7,2,124,,1.612903226,0.806451613,0,10.48387097,0,81.4516129,5.64516129
㵢谿集,1445,1494,1469,문집총간,0,0,0,380,0,35,0,415,1530,0,0,0,0,0,91.56626506,8.43373494
顔樂堂集,1448,1492,1470,문집총간,16,0,10,132,1,7,6,172,1516,3.488372093,9.302325581,0.581395349,5.813953488,0,76.74418605,4.069767442
虛白亭集,1438,1504,1471,문집총간,9,5,47,799,23,61,39,983,1843,3.967446592,0.915564598,2.339776195,4.78128179,0.508646999,81.28179044,6.205493388
大峯集,1439,1504,1471,문집총간,7,5,5,64,5,3,5,94,1787,5.319148936,7.446808511,5.319148936,5.319148936,5.319148936,68.08510638,3.191489362
虛白堂集,1439,1504,1471,문집총간,8,4,42,1008,17,64,4,1147,1841,0.348735833,0.697471665,1.482127289,3.661726242,0.348735833,87.88142982,5.579773322
大峰集,1439,1503,1471,역대문집DB,7,6,4,63,2,1,1,84,,1.19047619,8.333333333,2.380952381,4.761904762,7.142857143,75,1.19047619
風月亭集,1454,1488,1471,문집총간,0,0,6,338,0,2,1,347,1727,0.288184438,0,0,1.729106628,0,97.40634006,0.576368876
顔樂堂集,1445,1502,1473,역대문집DB,1,5,5,134,0,2,0,147,,0,0.680272109,0,3.401360544,3.401360544,91.15646259,1.360544218
藍溪集,1449,1498,1473,문집총간,2,1,6,10,8,17,2,46,1914,4.347826087,4.347826087,17.39130435,13.04347826,2.173913043,21.73913043,36.95652174
秋江集,1454,1492,1473,문집총간,1,3,5,304,12,17,4,346,1577,1.156069364,0.289017341,3.468208092,1.445086705,0.867052023,87.86127168,4.913294798
四雨亭集,1458,1488,1473,문집총간,0,0,4,421,0,0,0,425,1500,0,0,0,0.941176471,0,99.05882353,0
虛白先生續集,1444,1504,1474,역대문집DB,6,0,43,858,19,35,36,997,,3.610832497,0.601805416,1.905717151,4.312938816,0,86.05817452,3.510531595
山堂集,1458,1491,1474,문집총간,5,3,5,8,11,26,7,65,1685,10.76923077,7.692307692,16.92307692,7.692307692,4.615384615,12.30769231,40
一蠹集,1450,1504,1477,문집총간,11,7,6,9,22,23,7,85,1635,8.235294118,12.94117647,25.88235294,7.058823529,8.235294118,10.58823529,27.05882353
蓮軒雜稿,1449,1507,1478,문집총간,0,0,4,357,0,5,1,367,1696,0.272479564,0,0,1.089918256,0,97.27520436,1.36239782
梅溪集,1454,1503,1478,문집총간,0,1,15,280,3,12,9,320,1883,2.8125,0,0.9375,4.6875,0.3125,87.5,3.75
訥齋遺稿,1464,1493,1478,역대문집DB,10,14,1,296,1,0,2,324,,0.617283951,3.086419753,0.308641975,0.308641975,4.320987654,91.35802469,0
錦南集,1454,1504,1479,문집총간,2,0,3,0,0,126,1,132,1571,0.757575758,1.515151515,0,2.272727273,0,0,95.45454545
篠叢遺稿,1431,1529,1480,역대문집DB,0,1,3,65,0,2,0,71,,0,0,0,4.225352113,1.408450704,91.54929577,2.816901408
桃源先生文集,1443,1518,1480,역대문집DB,0,0,1,80,0,0,0,81,,0,0,0,1.234567901,0,98.7654321,0
濯纓集,1464,1498,1481,문집총간,21,1,18,30,15,29,7,121,1512,5.785123967,17.3553719,12.39669421,14.87603306,0.826446281,24.79338843,23.96694215
懶齋集,1449,1515,1482,문집총간,5,0,2,106,2,10,5,130,1568,3.846153846,3.846153846,1.538461538,1.538461538,0,81.53846154,7.692307692
仙石遺稿,1454,1511,1482,역대문집DB,4,0,1,360,2,0,0,367,,0,1.089918256,0.544959128,0.272479564,0,98.09264305,0
睡軒集,1467,1498,1482,문집총간,2,0,4,51,22,138,2,219,1509,0.913242009,0.913242009,10.0456621,1.826484018,0,23.28767123,63.01369863
忘軒先生文集,1464,1504,1484,역대문집DB,11,0,1,258,0,2,0,272,,0,4.044117647,0,0.367647059,0,94.85294118,0.735294118
李評事集,1471,1498,1484,문집총간,3,0,3,40,2,8,0,56,1631,0,5.357142857,3.571428571,5.357142857,0,71.42857143,14.28571429
虛庵遺集,1469,1502,1485,문집총간,1,0,4,279,0,6,5,295,1897,1.694915254,0.338983051,0,1.355932203,0,94.57627119,2.033898305
忘軒遺稿,1468,1504,1486,문집총간,0,0,2,79,0,4,0,85,1571,0,0,0,2.352941176,0,92.94117647,4.705882353
滄溪集,1457,1521,1489,문집총간,0,0,5,439,0,0,3,447,1906,0.67114094,0,0,1.118568233,0,98.21029083,0
遯齋先生文集,1450,1530,1490,역대문집DB,2,7,9,23,8,2,6,57,,10.52631579,3.50877193,14.03508772,15.78947368,12.28070175,40.35087719,3.50877193
篠䕺遺稿,1452,1529,1490,문집총간,0,1,4,45,12,3,5,70,1810,7.142857143,0,17.14285714,5.714285714,1.428571429,64.28571429,4.285714286
月軒集,1454,1527,1490,문집총간,7,1,5,508,9,8,1,539,1702,0.185528757,1.298701299,1.669758813,0.927643785,0.185528757,94.24860853,1.484230056
玉溪先生文集,1458,1522,1490,역대문집DB,4,0,7,127,0,0,0,138,,0,2.898550725,0,5.072463768,0,92.02898551,0
寓菴稿,1473,1508,1490,문집총간,0,0,1,255,1,0,0,257,,0,0,0.389105058,0.389105058,0,99.22178988,0
二樂亭集,1463,1519,1491,문집총간,8,0,20,177,3,8,45,261,1543,17.24137931,3.0651341,1.149425287,7.662835249,0,67.81609195,3.0651341
木溪逸稿,1464,1519,1491,문집총간,0,1,9,21,0,5,12,48,1910,25,0,0,18.75,2.083333333,43.75,10.41666667
