제목,저자,생년,몰년,활동연도,公車類,書簡類,序跋類,詩類,哀祭類,雜著類,傳記類
水亭先生集,邊處厚,1373,1437,1405,0,0,0.332225914,99.66777409,0,0,0
別洞集,尹祥,1373,1455,1414,0,0.961538462,4.807692308,85.57692308,6.730769231,1.923076923,0
敬齋集,河演,1376,1453,1414,0,0,3.265306122,91.42857143,0,4.897959184,0.408163265
泰齋先生文集,柳方善,1388,1443,1415,0,0,1.473296501,97.42173112,0.552486188,0.552486188,0
池月堂文集,金克己,1379,1463,1421,0,0,1.03626943,98.96373057,0,0,0
六先生遺稿,朴彭年,1417,1456,1436,0,9.523809524,9.523809524,70,0,10.47619048,0.476190476
生六臣文集,李孟?,1392,1480,1436,0,1.286173633,2.893890675,91.63987138,0.321543408,3.536977492,0.321543408
成先生遺稿,成三問,1418,1456,1437,0,0.99009901,0.99009901,94.05940594,0,3.96039604,0
梅竹軒先生文集,成三問,1418,1456,1437,0,0,7.317073171,83.7398374,0,7.317073171,1.62601626
成謹甫先生集,成三問,1418,1456,1437,0,0,6.837606838,86.32478632,0,5.128205128,1.709401709
月川集,金吉通,1408,1473,1440,0,0,0,84.31372549,0,15.68627451,0
太虛亭詩集,崔恒,1409,1474,1441,0,0,1.492537313,98.50746269,0,0,0
拭?集,金守溫,1409,1481,1445,0,0.389105058,3.112840467,82.10116732,0,14.0077821,0.389105058
樗軒集,李石亨,1415,1477,1446,0,0.330033003,0.660066007,97.02970297,0,1.98019802,0
六先生文集,李石亨,1415,1477,1446,0,1.570680628,13.61256545,75.91623037,0,8.90052356,0
保閑齋集,申叔舟,1417,1475,1446,0,0.268096515,4.423592493,91.15281501,0.402144772,2.949061662,0.804289544
私淑齋集,姜希孟,1424,1483,1453,0,1.052631579,6.052631579,81.84210526,1.315789474,7.631578947,2.105263158
四佳詩集,徐居正,1420,1488,1454,0,0,0.228832952,99.77116705,0,0,0
四佳詩集補遺,徐居正,1420,1488,1454,0,0,0,100,0,0,0
四佳文集,徐居正,1420,1488,1454,0,0,55.46875,0,0,44.53125,0
逍遙齋集,崔淑精,1432,1479,1455,0,0,2.521008403,97.05882353,0,0.420168067,0
?畢齋詩集,金宗直,1431,1492,1461,0,0,0,100,0,0,0
止止堂先生詩集,金孟性,1437,1486,1461,0,0,1.593625498,98.4063745,0,0,0
梅月堂遺集,金時習,1435,1493,1464,0,1.570680628,0,93.19371728,0.523560209,4.712041885,0
梅月堂詩集,金時習,1435,1493,1464,0,0,0,100,0,0,0
梅月堂集,金時習,1435,1493,1464,0,0.523560209,0.17452007,88.13263525,0.17452007,9.2495637,1.745200698
虛白堂文集,成俔,1439,1504,1471,0,2.43902439,23.7804878,19.51219512,10.36585366,42.07317073,1.829268293
虛白堂補集,成俔,1439,1504,1471,0,0,0,100,0,0,0
風雅錄,成俔,1439,1504,1471,0,0,0,100,0,0,0
虛白堂詩集,成俔,1439,1504,1471,0,0,0.143884892,99.85611511,0,0,0
秋江先生文集,南孝溫,1454,1492,1473,0,0.859598854,1.146131805,94.26934097,0.573065903,2.005730659,1.146131805
顔樂堂集,金諶,1445,1502,1473,0,3.424657534,3.424657534,91.78082192,0,1.369863014,0
虛白先生續集,洪貴達,1444,1504,1474,0,0,1.418439716,96.63120567,0,0.886524823,1.063829787
虛白亭集,洪貴達,1444,1504,1474,0,0,8.196721311,73.30210773,4.449648712,7.025761124,7.025761124
蓮軒雜稿,李宜茂,1449,1507,1478,0,0,0.826446281,97.52066116,0,1.652892562,0
訥齋遺稿,朴增榮,1464,1493,1478,0,4.458598726,0.318471338,94.26751592,0.318471338,0,0.636942675
梅溪先生文集,曺偉,1454,1503,1478,0,0.307692308,2.461538462,92.92307692,0,3.384615385,0.923076923
濯纓先生文集續,金馹孫,1464,1498,1481,0,0,0,100,0,0,0
睡軒詩集,權五福,1467,1498,1482,0,0,0.526315789,99.47368421,0,0,0
懶齋先生文集,蔡壽,1449,1515,1482,0,0,0,92.30769231,0,6.993006993,0.699300699
仙石遺稿,辛啓榮,1454,1511,1482,0,0,0.275482094,99.17355372,0.550964187,0,0
忘軒先生文集,李?,1464,1504,1484,0,0,0.775193798,98.4496124,0,0.775193798,0
忘軒先生詩集,李?,1464,1504,1484,0,0,0,99.24242424,0,0.757575758,0
虛菴先生遺集,鄭希良,1469,1502,1485,0,0,0.334448161,98.99665552,0,0.668896321,0
滄溪先生文集,文敬仝,1457,1521,1489,0,0,0.437636761,99.34354486,0,0,0.218818381
